"Status","PackageID","CurrentVersion","LatestVersion","Reason","Solution","Timestamp"
"Outdated","System.ValueTuple","4.5.0","4.6.1","New version available","src","20250416_175601"
"Outdated","Microsoft.Bcl.AsyncInterfaces","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","System.Threading.Tasks.Extensions","4.5.4","4.6.3","New version available","src","20250416_175601"
"Outdated","System.Data.SqlClient","4.8.6","4.9.0","New version available","src","20250416_175601"
"Outdated","Microsoft.Data.SqlClient","5.2.0","6.0.1","New version available","src","20250416_175601"
"Outdated","Microsoft.Data.SqlClient","5.2.0","6.0.1","New version available","src","20250416_175601"
"Outdated","Microsoft.Extensions.Primitives","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","MySqlConnector","2.3.7","2.4.0","New version available","src","20250416_175601"
"Outdated","Npgsql","8.0.3","9.0.3","New version available","src","20250416_175601"
"Outdated","System.Data.Odbc","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","System.Diagnostics.DiagnosticSource","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","Microsoft.Data.Sqlite","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","Microsoft.Extensions.Primitives","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","MySqlConnector","2.3.7","2.4.0","New version available","src","20250416_175601"
"Outdated","Npgsql","8.0.3","9.0.3","New version available","src","20250416_175601"
"Outdated","Oracle.ManagedDataAccess.Core","23.4.0","23.8.0","New version available","src","20250416_175601"
"Outdated","System.Data.Odbc","8.0.0","9.0.4","New version available","src","20250416_175601"
"Outdated","System.Diagnostics.DiagnosticSource","8.0.0","9.0.4","New version available","src","20250416_175601"
