"Status","PackageID","CurrentVersion","LatestVersion","Reason","Solution","Timestamp"
"Outdated","KGySoft.Drawing","8.1.0","9.1.0","New version available","ScreenToGif","20250416_175830"
"Outdated","KGySoft.Drawing.Wpf","8.1.0","9.0.0","New version available","ScreenToGif","20250416_175830"
"Outdated","Microsoft.Windows.Compatibility","8.0.0","9.0.4","New version available","ScreenToGif","20250416_175830"
"Outdated","Microsoft.Windows.Compatibility","8.0.0","9.0.4","New version available","ScreenToGif","20250416_175830"
"Outdated","coverlet.collector","3.1.2","6.0.4","New version available","ScreenToGif","20250416_175830"
"Outdated","Microsoft.NET.Test.Sdk","17.1.0","17.13.0","New version available","ScreenToGif","20250416_175830"
"Outdated","xunit","2.4.1","2.9.3","New version available","ScreenToGif","20250416_175830"
"Outdated","xunit.runner.visualstudio","2.4.3","3.0.2","New version available","ScreenToGif","20250416_175830"
"Outdated","KGySoft.CoreLibraries","8.1.0","9.0.0","New version available","ScreenToGif","20250416_175830"
"Outdated","System.Drawing.Common","8.0.0","9.0.4","New version available","ScreenToGif","20250416_175830"
"Outdated","KGySoft.Drawing.Core","8.1.0","9.1.0","New version available","ScreenToGif","20250416_175830"
