Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
3f60f59c-1911-468a-b718-1684e7158d8b,CODE_SMELL,MAJOR,RestSharp:src/RestSharp/Parameters/UrlSegmentParameter.cs,34,Extract this nested ternary operation into an independent statement.,5min,5min,csharpsquid:S3358,confusing
a1528ab2-b530-4bbd-a89f-60fb2e82af5b,CODE_SMELL,MINOR,RestSharp:gen/SourceGenerator/ImmutableGenerator.cs,31,Remove this redundant jump.,1min,1min,csharpsquid:S3626,redundant;clumsy
7a53ea82-decd-4a53-a311-37d16d423f48,CODE_SMELL,MINOR,RestSharp:gen/SourceGenerator/InheritedCloneGenerator.cs,32,Remove this redundant jump.,1min,1min,csharpsquid:S3626,redundant;clumsy
a482e91c-5671-4ef8-a107-f40eb8d7cb5c,CODE_SMELL,MINOR,RestSharp:src/RestSharp/Parameters/HeaderParameter.cs,71,Remove this redundant jump.,1min,1min,csharpsquid:S3626,redundant;clumsy
63fc1fbc-766f-4329-88f4-f6b1198a2338,CODE_SMELL,INFO,RestSharp:src/RestSharp/RestClient.Extensions.cs,23,Do not forget to remove this deprecated code someday.,10min,10min,csharpsquid:S1133,obsolete
d133eee2-dd63-4b8e-9071-f85b0fba45c0,CODE_SMELL,CRITICAL,RestSharp:src/RestSharp.Serializers.NewtonsoftJson/JsonNetSerializer.cs,55,"Remove this set, which updates a 'static' field from an instance method.",20min,20min,csharpsquid:S2696,multi-threading
3386143d-7cfa-4aea-ad31-e7bd429311e4,CODE_SMELL,CRITICAL,RestSharp:src/RestSharp.Serializers.Xml/XmlDeserializer.cs,85,Refactor this method to reduce its Cognitive Complexity from 89 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
35b8fdd1-b5e3-4eae-ad93-340723fb4fd9,CODE_SMELL,MINOR,RestSharp:src/RestSharp/AsyncHelpers.cs,98,Remove this redundant jump.,1min,1min,csharpsquid:S3626,redundant;clumsy
9f8d779a-93a6-48f8-8e4e-f7437b897307,CODE_SMELL,MINOR,RestSharp:src/RestSharp/Extensions/StringExtensions.cs,175,All 'IsUpperCase' method overloads should be adjacent.,1min,1min,csharpsquid:S4136,convention
a950733c-e77e-4999-8a08-fefc2eda1a75,CODE_SMELL,MAJOR,RestSharp:src/RestSharp/Extensions/StringExtensions.cs,196,Remove the unused private field 'RAddSpaces2'.,2min,2min,csharpsquid:S1144,unused
