Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
d568d6e2-d1b8-4763-a4fa-64a6959a28a8,BUG,CRITICAL,ScreenToGif:ScreenToGif/Controls/NotifyIcon.cs,458,Lock on a dedicated object instance instead.,15min,15min,csharpsquid:S2551,multi-threading
d1007500-147f-42aa-ad2b-82e9755685ef,BUG,MAJOR,ScreenToGif:ScreenToGif/ViewModel/KGySoftGifOptionsViewModel.cs,151,Return 'Task' instead.,15min,15min,csharpsquid:S3168,multi-threading;async-await
cc67d3ad-6de3-459b-9dfe-2314766fec70,BUG,MAJOR,ScreenToGif:ScreenToGif/ViewModel/KGySoftGifOptionsViewModel.cs,163,Return 'Task' instead.,15min,15min,csharpsquid:S3168,multi-threading;async-await
b6eb6eb5-2e79-4052-83af-2b46bfc921c2,BUG,MAJOR,ScreenToGif:ScreenToGif/Windows/Editor.xaml.cs,4524,Return 'Task' instead.,15min,15min,csharpsquid:S3168,multi-threading;async-await
7f3aa943-2763-40f2-98d9-d591b81eb240,BUG,MINOR,ScreenToGif:ScreenToGif.Native/Helpers/HotKey.cs,8,This class overrides 'GetHashCode' and should therefore also override 'Equals'.,15min,15min,csharpsquid:S1206,cwe
deabb115-542b-4775-91c2-e6b6b256d3fe,BUG,MAJOR,ScreenToGif:ScreenToGif.Util/Codification/Gif/Encoder/Quantization/MedianCutQuantizer.cs,71,Refactor the containing loop to do more than one iteration.,5min,5min,csharpsquid:S1751,bad-practice;confusing
599c089c-7d0c-42ad-a0be-9e6553ee8469,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Gif/LegacyEncoder/GifEncoder.cs,137,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
67fef72d-9c7f-4367-842f-4ba654573f83,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Gif/LegacyEncoder/GifEncoder.cs,145,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
b70cdd1e-8890-4ddd-ae17-48ac6bdf3b2c,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Gif/LegacyEncoder/GifEncoder.cs,159,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
f058a1bf-6c4f-4a20-a3c4-24d26d6609d7,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Gif/LegacyEncoder/GifEncoder.cs,187,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
fc56a1a9-2386-4d29-9729-3c887459862f,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Psd/ImageChannelData.cs,108,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
411c0b3d-e293-4529-b98c-876c7e48d550,BUG,MINOR,ScreenToGif:ScreenToGif.Util/Codification/Psd/ImageChannelData.cs,167,Check the return value of the 'Read' call to see how many bytes were read.,15min,15min,csharpsquid:S2674,
