Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
cab5d3dc-5a31-4cef-ac80-9bdaadd2eb3a,CODE_SMELL,CRITICAL,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,70,Rename parameter 'output' to 'buffer' to match the base class declaration.,10min,10min,csharpsquid:S927,suspicious
d75a5cf9-e9f6-4a62-a67c-c5f32e000e28,CODE_SMELL,CRITICAL,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,70,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
2ea65643-2e79-4fe6-acd9-adbf555e5c16,CODE_SMELL,MAJOR,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,274,Extract this nested ternary operation into an independent statement.,5min,5min,csharpsquid:S3358,confusing
a37188ef-75e8-4a2b-b82b-8674207b9684,CODE_SMELL,MAJOR,SoundFlow:Src/Backends/MiniAudio/MiniAudioEngine.cs,46,Extract the assignment of '_audioCallback' from this expression.,5min,5min,csharpsquid:S1121,cwe;suspicious
0e6cc050-bbd1-471f-ad6b-87e8c38f3fea,CODE_SMELL,CRITICAL,SoundFlow:Src/Backends/MiniAudio/MiniAudioEngine.cs,105,Rename parameter 'encodingChannels' to 'channels' to match the base class declaration.,10min,10min,csharpsquid:S927,suspicious
bdd8a077-3c12-43a6-bad9-a213d397c92e,CODE_SMELL,CRITICAL,SoundFlow:Src/Backends/MiniAudio/Native.cs,33,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
972bf249-a2b5-4762-8f6c-ffd3be4bf172,CODE_SMELL,INFO,SoundFlow:Src/Components/SurroundPlayer.cs,237,Complete the task associated to this 'TODO' comment.,0min,0min,csharpsquid:S1135,cwe
27180a95-ba39-4d57-a4e2-21df51511f96,CODE_SMELL,CRITICAL,SoundFlow:Src/Components/SurroundPlayer.cs,423,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
84bea339-e43a-4573-9ac2-4c754f5381f5,CODE_SMELL,INFO,SoundFlow:Src/Components/SurroundPlayer.cs,527,Member 'CreateCircularLayout' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
ba419153-6eee-4b0a-9476-f5f4b5004f8e,CODE_SMELL,MINOR,SoundFlow:Src/Components/SurroundPlayer.cs,527,Make 'CreateCircularLayout' a static method.,5min,5min,csharpsquid:S2325,pitfall
