project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Foster,c7e1a04e-4a47-4719-ab57-14ec5a009a2a,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Images/Font.cs,73,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,1b5abe18-3d16-40e7-89c9-63e03fdd350e,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Foster:Framework/Spatial/Rect.cs,531,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,brain-overload
Foster,873dd259-9e6b-4fc8-b6ff-2721d0e4f112,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Virtual/VirtualAction.cs,16,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,2f0fb63f-85d7-4e3c-98c6-211217003885,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Virtual/VirtualAxis.cs,18,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,833887cb-ec57-42a0-8f8b-9c0d252d8f00,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Virtual/VirtualStick.cs,18,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,13c6d755-5a27-4bf0-a744-1ebf7adb49c5,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Utility/Calc.cs,595,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,cabc108c-bc4f-44f2-a375-43891cf388aa,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Internal/GraphicsDeviceSDL.cs,541,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,5daa8898-fc1b-400f-a9c2-86d264d72220,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Utility/Pool.cs,73,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,73c49187-990d-4990-9383-20e6488a4250,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Internal/GraphicsDeviceSDL.cs,502,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,0a12cd7c-8b44-4b67-92b5-3c43661c6bbf,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Internal/GraphicsDeviceSDL.cs,503,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,d45d41f2-c42b-4d6b-aed2-d81b68252212,CODE_SMELL,MINOR,csharpsquid:S1199,csharpsquid:S1199,Foster:Framework/Internal/GraphicsDeviceSDL.cs,562,Extract this nested code block into a separate method.,10min,bad-practice
Foster,1ad49b18-94ff-447d-95d2-56a47b6c00d9,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Internal/GraphicsDeviceSDL.cs,583,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,8ed79d9c-3a43-4c8a-9d10-613db8ca5547,CODE_SMELL,INFO,csharpsquid:S1135,csharpsquid:S1135,Foster:Framework/Internal/GraphicsDeviceSDL.cs,584,Complete the task associated to this 'TODO' comment.,0min,cwe
Foster,60fa17b3-edc4-407b-8561-027aef054ad5,CODE_SMELL,MINOR,csharpsquid:S1199,csharpsquid:S1199,Foster:Framework/Internal/GraphicsDeviceSDL.cs,593,Extract this nested code block into a separate method.,10min,bad-practice
Foster,2ae1cb0d-ff09-4866-8a99-7380991d6801,CODE_SMELL,CRITICAL,csharpsquid:S2223,csharpsquid:S2223,Foster:Framework/Input/Input.cs,16,Change the visibility of 'RepeatDelay' or make it 'const' or 'readonly'.,20min,pitfall
Foster,725804df-885e-476e-b924-c7bded82d4b1,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Input.cs,16,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,d5030953-a081-4967-84b4-7510084666dd,CODE_SMELL,INFO,external_roslyn:CA2211,external_roslyn:CA2211,Foster:Framework/Input/Input.cs,16,Non-constant fields should not be visible,0min,
Foster,4d09883f-f379-4137-8333-0e04afb49bb4,CODE_SMELL,CRITICAL,csharpsquid:S2223,csharpsquid:S2223,Foster:Framework/Input/Input.cs,21,Change the visibility of 'RepeatInterval' or make it 'const' or 'readonly'.,20min,pitfall
Foster,bbe16c89-d618-4133-8c1f-092eb394bb22,CODE_SMELL,INFO,external_roslyn:CA2211,external_roslyn:CA2211,Foster:Framework/Input/Input.cs,21,Non-constant fields should not be visible,0min,
Foster,e238ed69-b828-4eb5-8718-f9d556b4a15b,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Input.cs,21,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,472eb6df-82fb-4818-92e9-a675614ea1b5,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/Input/Input.cs,78,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
Foster,28a3ec61-a961-4be6-b237-9089c2f70704,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Foster:Framework/Utility/Converters.cs,13,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,6min,brain-overload
Foster,24ad66a9-6a2a-4e75-a3ef-83cb5064ff2b,CODE_SMELL,MAJOR,csharpsquid:S1871,csharpsquid:S1871,Foster:Framework/Utility/Converters.cs,32,Either merge this case with the identical one on line 31 or change one of the implementations.,10min,"design,suspicious"
Foster,28f9d139-ea9f-486f-bbf6-cf3550ecc16a,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Foster:Framework/Input/Bindings/AxisBinding.cs,117,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,6min,brain-overload
Foster,b68cf65e-e7dd-4492-9c0d-5f2a4686b448,CODE_SMELL,MINOR,csharpsquid:S3267,csharpsquid:S3267,Foster:Framework/Input/Bindings/Binding.cs,35,"Loops should be simplified using the ""Where"" LINQ method",5min,
Foster,70db0f48-a8bd-4a65-bb3b-5aae1d21c726,CODE_SMELL,MINOR,csharpsquid:S1104,csharpsquid:S1104,Foster:Framework/App.cs,77,Make this field 'private' and encapsulate it in a 'public' property.,10min,cwe
