project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Lynx,fee92783-4036-4683-9d0a-b18ee2cdb8f7,CODE_SMELL,INFO,external_roslyn:EPS09,external_roslyn:EPS09,Lynx:src/Lynx/Engine.cs,31,An argument for a parameter 'tt' may be passed explicitly,0min,
Lynx,dff6e967-3637-46a0-a781-0fb041093b14,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,348,Define a constant instead of using this literal 'infinite' 7 times.,4min,design
Lynx,43ac2373-6176-4b84-a10d-269f94a3f9fd,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,350,Define a constant instead of using this literal 'ponder' 7 times.,4min,design
Lynx,28ce2057-6e49-4e4b-97bb-d0a1d5a5642f,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,478,Define a constant instead of using this literal 'wtime' 6 times.,4min,design
Lynx,0945263b-2ac0-47eb-895e-afdca6482511,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,481,Define a constant instead of using this literal 'btime' 6 times.,4min,design
Lynx,e94d80cd-301b-45ec-828c-46c0803a1691,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,490,Define a constant instead of using this literal 'movestogo' 6 times.,4min,design
Lynx,caae8bc6-d1a8-4dd8-8b97-57d2cbace3af,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,493,Define a constant instead of using this literal 'movetime' 6 times.,4min,design
Lynx,f4599ae0-18e0-49e1-b12d-884c8961df30,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,496,Define a constant instead of using this literal 'depth' 6 times.,4min,design
Lynx,45a4ef90-def2-438a-b732-ff1fdafa99d9,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,607,Define a constant instead of using this literal 'nodes' 4 times.,4min,design
Lynx,02fd7fa9-3288-48fe-9a88-e449aaf9526f,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/GoCommandParsingAlternatives_Benchmark.cs,609,"Define a constant instead of using this literal 'nodes not supported in go command, it will be safely ignored' 5 times.",4min,design
